Language,CER for UDHR,CER for Flores,CER for Augmented Flores
kor,Not Available,0.9784867280141235,0.9741122064774166
mri,Not Available,0.69536319378222,0.7066343540951165
eng,0.9208653617560821,0.7541088834297488,0.7510658530786909
slk,Not Available,0.7897973609802074,0.7839066918001885
hye,Not Available,0.9958886083152542,0.9967635238467831
mal,Not Available,0.9991404492026443,0.9986372975163874
ukr,0.870892741662304,0.9961583469343762,0.9965201860006775
amh,0.9034741413343861,0.9674879821648359,0.9916165439725041
kat,Not Available,0.9963509165892945,0.9967035893449644
rus,0.8717235330486419,0.9972681131288732,0.9974622208802427
mar,Not Available,0.9591061663803836,0.9921442866823204
jpn,0.9393574585833903,0.9953462464512883,0.9942861249865239
kir,Not Available,0.9939973011121279,0.9936017744412217
npi,Not Available,0.9952786034519567,0.9921091094214441
tam,Not Available,0.9989464669258584,0.9978249639759659
slv,0.8688389750079089,0.7663160392280923,0.7608114520721291
guj,Not Available,0.9875246332835858,0.991927703889379
kan,Not Available,0.9962319211185403,0.9937875585706872
por,0.8651440326216199,0.7338478484466069,0.7382829881753923
khm,0.8972627111942856,0.978867392393052,0.9901223015893935
tha,Not Available,0.9855041446128265,0.9847468370060009
mkd,0.9397888046709291,0.997133886282947,0.9954233409610984
bul,Not Available,0.9959101601031944,0.9931557781318765
ben,Not Available,0.9773076582629897,0.9932727667758366
heb,Not Available,0.9915631948181163,0.9912789222006761
tgk,Not Available,0.9951611755497047,0.9936739486230698
tel,Not Available,0.99187968517204,0.9938454097989813
bel,Not Available,0.9961508106835772,0.9953892804231339
tur,Not Available,0.7768672207174881,0.7702232408114761
vie,0.8806199102167881,0.7363727281613992,0.7490356200230097
pol,Not Available,0.7834179860341635,0.7775802961233277
swe,Not Available,0.7651456318295562,0.7605331074137701
ell,Not Available,0.7616936656008033,0.7705332840041225
hin,Not Available,0.9902594576630611,0.9910428156576646
mya,Not Available,0.9975047702920886,0.9969495657279243
isl,Not Available,0.7805971580646708,0.7757780157601138
pan,Not Available,0.9965149136577708,0.99712715855573
ceb,0.8602555116183725,0.6750492640154471,0.6936770132120138
ron,Not Available,0.7405275306834815,0.7432017790789326
srp,Not Available,0.9967096090569405,0.9966538397189225
urd,0.9231767309314951,0.9451785458424211,0.988831929696082
lao,Not Available,0.9865910548950966,0.990083875208896
kaz,0.8733985854332015,0.9958195463205066,0.9951176620311452
